headline,date,doc_type,material_type,section,keywords
Brian Kemp Wins Georgia G.O.P. Runoff for Governor to Face Stacey Abrams,2018-07-25,article,News,,"['Elections, Governors', 'Endorsements', 'Politics and Government', 'Midterm Elections (2018)', 'United States Politics and Government']"
"Facing Investigation, Ex-President Uribe Resigns From Senate in Colombia",2018-07-25,article,News,,"['Politics and Government', 'Bribery and Kickbacks']"
R.I.P. Ivanka Inc.,2018-07-25,article,Editorial,,"['Fashion and Apparel', 'Shutdowns (Institutional)', 'United States Politics and Government', 'Women and Girls']"
Review: A Dirge for Wilting Salad Days in ‘This Ain’t No Disco’,2018-07-25,article,Review,,['Theater']
Palestinians to Lead U.N.’s Biggest Bloc of Developing Countries,2018-07-25,article,News,,"['Palestinians', 'Third World and Developing Countries']"
Gestured Rudely,2018-07-25,article,News,,"['Crossword Puzzles', 'Birds']"
"Frustrated by Gridlock, House Members Propose Rules Overhaul",2018-07-25,article,News,,"['United States Politics and Government', 'Elections, House of Representatives', 'Law and Legislation']"
"Corrections: July 25, 2018",2018-07-25,article,Correction,,[]
"Trump Administration, in Reversal, Will Resume Risk Payments to Health Insurers",2018-07-25,article,News,,"['Health Insurance and Managed Care', 'United States Politics and Government', 'Consumer Protection', 'Patient Protection and Affordable Care Act (2010)', 'Suits and Litigation (Civil)']"
U.S.A. Gymnastics’ Talk of Reform Falls on Skeptical Ears at Senate Hearing,2018-07-25,article,News,,"['Gymnastics', 'Sex Crimes', 'Child Abuse and Neglect']"
Yankees Add Zach Britton to an Already Potent Bullpen,2018-07-25,article,News,,"['Baseball', 'Trades (Sports)']"
Michael Cohen Releases Tape of Trump Discussing Hush Money for Playboy Model,2018-07-25,article,News,,"['Campaign Finance', 'ADULTERY', 'Audio Recordings, Downloads and Streaming', 'United States Politics and Government', 'Presidential Election of 2016']"
"Greece, Trade, Novichok: Your Wednesday Briefing",2018-07-25,article,briefing,,[]
The Bread Thief,2018-07-25,article,News,,"['Bread', 'Restaurants']"
Trump Reveals Himself as the Bully of His Allies,2018-07-25,article,Op-Ed,,['United States International Relations']
What’s on TV Wednesday: ‘Castle Rock’ and ‘Colony’,2018-07-25,article,Schedule,,['Television']
